SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
二林,彰化縣,46,,良好,4.1,0.16,0.2,45,32,21,16,5.8,7.8,2,4.1,277,2020-09-11 15:00,14,26,1,120.409653,23.925175,35
三重,新北市,72,細懸浮微粒,普通,3.7,0.89,1.3,-,,48,22,42,78,35,,,2020-09-11 15:00,24,42,4,121.493806,25.072611,67
三義,苗栗縣,56,細懸浮微粒,普通,4.4,0.28,0.3,53,39,30,19,7.7,9.1,1.3,2.6,204,2020-09-11 15:00,18,28,3,120.758833,24.382942,27
土城,新北市,72,細懸浮微粒,普通,3,0.37,0.6,80,53,39,23,13,15,1.9,1.6,160,2020-09-11 15:00,24,39,3,121.451861,24.982528,5
士林,臺北市,67,細懸浮微粒,普通,3.2,0.27,0.5,60,40,45,22,16,17,1,2.4,304,2020-09-11 15:00,22,39,3,121.515389,25.105417,11
大同,臺北市,68,細懸浮微粒,普通,2.3,0.97,1.5,-,,46,21,37,54,17,,,2020-09-11 15:00,22,41,3,121.513311,25.0632,16
大里,臺中市,55,細懸浮微粒,普通,2.6,0.28,0.4,57,36,29,22,8.9,10,1.5,2.2,279,2020-09-11 15:00,17,29,3,120.677689,24.099611,30
大園,桃園市,55,細懸浮微粒,普通,0.6,0.17,0.3,46,37,22,11,3.6,3.7,0.1,4.5,240,2020-09-11 15:00,17,28,4,121.201811,25.060344,18
大寮,高雄市,32,,良好,1,0.08,0.1,18,21,13,5,2.6,5.2,2.6,1.6,263,2020-09-11 15:00,10,19,3,120.425081,22.565747,51
小港,高雄市,21,,良好,1.9,0.1,0.2,14,13,16,4,5.2,11,5.7,2.1,265,2020-09-11 15:00,7,18,3,120.337736,22.565833,58
中山,臺北市,66,細懸浮微粒,普通,2.1,0.52,0.7,59,39,40,19,21,25,4.2,1.6,3.6,2020-09-11 15:00,22,39,2,121.526528,25.062361,12
